"ROW_ID","BILL_TO_NAME","BILL_TO_ACCOUNT","SITE_NUMBER","BUSINESS_UNIT","TXN_SOURCE","TXN_TYPE","RATE_IS_CORPORATE","REC_ACTIVITY_NAME_BANK","SUBINVENTORY","INTEGRATION_SOURCE","DISTRIBUTION_ACC_ID","REC_ACTIVITY_NAME_CASH","REGION","CUSTOMER_TYPE","COST_CENTER_CODE"
2645,Nakhla IT Systems (LLC) Tamara,69011,"51003",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAYAT,Vend HQ,,Cash Rounding,SA,TAMARA,"0104"
1629,Tabby Saudi For communication and IT,50011,"51114",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ZAHRAN,Vend HQ,,Cash Rounding,SA,TABBY,"0601"
2629,Nakhla IT Systems (LLC) Tamara,69011,"51066",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ZAHRAN,Vend HQ,,Cash Rounding,SA,TAMARA,"0601"
1621,Tabby Saudi For communication and IT,50011,"51101",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAMRAA,Vend HQ,,Cash Rounding,SA,TABBY,"0108"
2621,Nakhla IT Systems (LLC) Tamara,69011,"51051",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAMRAA,Vend HQ,,Cash Rounding,SA,TAMARA,"0108"
1630,Tabby Saudi For communication and IT,50011,"51109",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,EHSAA,Vend HQ,,Cash Rounding,SA,TABBY,"0801"
2630,Nakhla IT Systems (LLC) Tamara,69011,"51079",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,EHSAA,Vend HQ,,Cash Rounding,SA,TAMARA,"0801"
1628,Tabby Saudi For communication and IT,50011,"51125",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JUBAIL,Vend HQ,,Cash Rounding,SA,TABBY,"0901"
2628,Nakhla IT Systems (LLC) Tamara,69011,"51060",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JUBAIL,Vend HQ,,Cash Rounding,SA,TAMARA,"0901"
1624,Tabby Saudi For communication and IT,50011,"51099",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MANAR,Vend HQ,,Cash Rounding,SA,TABBY,"0301"
2624,Nakhla IT Systems (LLC) Tamara,69011,"51057",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MANAR,Vend HQ,,Cash Rounding,SA,TAMARA,"0301"
1618,Tabby Saudi For communication and IT,50011,"51092",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,NAKHELMALL,Vend HQ,,Cash Rounding,SA,TABBY,"0105"
